region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Östermalm,"Brahegatan 37, 2 tr",2,37.0,1743,5700000,5377358
Stockholmskommun,Akalla,"Kaskögatan 22, 5 tr",3,75.9,4639,2250000,2102803
Stockholmskommun,Kungsholmen,"Wivalliusgatan 32, 1 tr",2.5,64.5,4000,5225000,5072815
Stockholmskommun,Gubbängen,Kistvägen 16,4,93.0,5920,4800000,4363636
Stockholmskommun,Älvsjö,Slättåkragränd 15,3,83.0,4201,3140000,2595041
Stockholmskommun,Abrahamsberg,Rörläggarvägen 16,3,60.0,3769,3500000,2966101
Sollentunakommun,Viby,Soldatvägen 53,4,76.0,6219,2475000,2402912
Solnakommun,Karolinska,Olof Af Acrels Väg 5,1.5,26.0,1858,2200000,1999999
Stockholmskommun,Vasastaden,Upplandsgatan 51,4,128.0,3423,17500000,17500000
Stockholmskommun,Kungsholmen,Gyllenborgsgatan 9,1.5,27.0,1467,2800000,2499999
Stockholmskommun,Husby,"Stavangergatan 44, 1 tr",4,80.0,5397,2425000,2400990
Solnakommun,Huvudsta,"Jungfrudansen 27, vån 3",3,87.0,4191,5360000,4581196
Solnakommun,Hagalund,Hagalundsgatan 8,3,67.0,3551,2950000,2500000
Stockholmskommun,Bromma,Dartanjangs Gata 48,2,52.0,3314,2850000,2590909
Nackakommun,NackaStrand,Jakobsdalsvägen 23,3,67.0,3880,4050000,4009900
Stockholmskommun,Årsta,"Rämensvägen 29B, vån 6 / 6",3,80.0,4042,6000000,5217391
Sundbybergskommun,LillaAlby,Albygatan 127,2,64.0,3661,4150000,3608695
Stockholmskommun,Kungsholmen,Alströmergatan 32U,2,35.0,1801,4060000,3608695
Stockholmskommun,Högdalen,"Harpsundsvägen 53, gavel 4:a!",4,102.0,5347,4650000,3780487
Stockholmskommun,Vasastan,Hagagatan 13,3,88.0,3757,10900000,10900000
Stockholmskommun,Älvsjö,Prästgårdsgränd 9,3,77.0,3972,3700000,3189655
Nackakommun,Nacka,Serenadvägen 1a,5,107.5,6272,5800000,5800000
Stockholmskommun,Mälarhöjden,"Klubbacken 59, vån 4",2,50.0,3319,3600000,3000000
Sundbybergskommun,Ör,Logdansvägen 36,3,89.0,4289,3000000,3000000
Stockholmskommun,Vasasatan,Kungstensgatan 44,2,47.0,1201,4900000,4711538
